Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Adderley, Nicola J; Subramanian, Anuradhaa; Toulis, Konstantinos; Gokhale, Krishna; Taverner, Thomas; Hanif, Wasim; Haroon, Shamil; Thomas, G Neil; Sainsbury, Christopher; Tahrani, Abd A; ","Diabetes Care Publish Ahead of Print, published online April 28, 2020",,,,,2020,
"Wang, Jingya; Nirantharakumar, Krishnarajah; Sainsbury, Christopher; Moore, David J; Sinclair, Alan; Thomas, G Neil; Hanif, Wasim; Singh, Megha; Tan, Luyuan; Wang, Zhaonan; ",The optimal second-line therapy for older adults with type 2 diabetes mellitus: protocol for a systematic review and network meta-analysis using individual participant data (IPD),Systematic Reviews,13,1,155,2024,BioMed Central London
"Adderley, Nicola; Subramanian, Anuradhaa; Toulis, Konstantinos; Gokhale, Krishna; Taverner, Thomas; Hanif, Wasim; Haroon, Shamil; Thomas, G Neil; Sainsbury, Chris; Tahrani, Abd; ","Obstructive sleep apnoea, a risk factor for cardiovascular and microvascular disease in patients with type 2 diabetes mellitus",,,,,,
"Mackenzie, Scott C; Sainsbury, Chris AR; Wake, Deborah J; ","Diabetes and artificial intelligence beyond the closed loop: a review of the landscape, promise and challenges",Diabetologia,67,2,223-235,2024,Springer Berlin Heidelberg Berlin/Heidelberg
"Mahmoud, Fatema; Mullen, Alexander; Sainsbury, Chris; Rushworth, Gordon F; Yasin, Haya; Abutheraa, Nouf; Mueller, Tanja; Kurdi, Amanj; ",Meta‐analysis of factors associated with antidiabetic drug prescribing for type 2 diabetes mellitus,European Journal of Clinical Investigation,53,8,e13997,2023,
"Tan, Luyuan; Wang, Zhaonan; Okoth, Kelvin; Toulis, Konstantinos A; Denniston, Alastair K; Singh, Baldev M; Crowe, Francesca L; Sainsbury, Christopher; Wang, Jingya; Nirantharakumar, Krishnarajah; ",Associations of antidiabetic drugs with diabetic retinopathy in people with type 2 diabetes: an umbrella review and meta-analysis,Frontiers in Endocrinology,14,,1303238,2024,Frontiers Media SA
"Tan, Luyuan; Wang, Jingya; Han, Jieun; Sainsbury, Christopher; Denniston, Alastair K; Crowe, Francesca L; Toulis, Konstantinos A; Karamat, Muhammad Ali; Yao, Mi; Nirantharakumar, Krishnarajah; ",Socioeconomic Deprivation and the Risk of Sight-Threatening Diabetic Retinopathy: A Population-Based Cohort Study in the UK,Diabetes Care,47,5,844-848,2024,American Diabetes Association
"Dickson, J; Conway, N; MacKenzie, S; Shields, C; Cunningham, S; Sainsbury, C; Brodie, D; Stevens, M; Wake, DJ; ",IDF23-0423 Developing a Foot Tool for MyWay Clinical: What do clinicians and patients want from a foot management app?,Diabetes Research and Clinical Practice,209,,111334,2024,Elsevier
"Mcpherson, S; McAlpine, C; Dawson, J; Sainsbury, CAR; Jones, GC; Moulton, CD; Stewart, R; Amiel, SA; Ismail, K; ",Clinical care and other categories posters: cerebral and cerebrovascular complications,,,,,2016,
"Dickson, J; Conway, Nicholas; Mackenzie, S; Shields, C; Cunningham, S; Sainsbury, C; Brodie, D; Stevens, M; Wake, Deborah J; ",Developing a Foot Tool for MyWay Clinical: What do clinicians and patients want from a foot management app?,IDF Virtual Congress 2023: Diabetes Complications and Diabetes in Crises,,,,2024,
"Phillips, Katherine; Hazlehurst, Jonathan M; Sheppard, Christelle; Bellary, Srikanth; Hanif, Wasim; Karamat, Muhammad Ali; Crowe, Francesca L; Stone, Anna; Thomas, G Neil; Peracha, Javeria; ",This article is protected by copyright. All rights reserved.,,,,,,
"Duvieusart, Ysaline; Morrison, Deborah; McKeag, Conor; Cahill, Sandra; McTweed, Karen; Sainsbury, Chris; Jones, Gregory Charles; ",Putting EMPA-REG into practice: a data-driven intervention,British Journal of Diabetes,24,1,38-44,2024,
"Mahmoud, Fatema; Mueller, Tanja; Mullen, Alexander; Sainsbury, Christopher; Rushworth, Gordon F; Kurdi, Amanj; ","Patterns of initial and first‐intensifying antidiabetic drug utilization among patients with type 2 diabetes mellitus in Scotland, 2010–2020: A retrospective population‐based cohort study","Diabetes, Obesity and Metabolism",26,7,2684-2694,2024,"Blackwell Publishing Ltd Oxford, UK"
"Sainsbury, Christopher; ","Patterns of initial and first-intensifying antidiabetic drug utilization among patients with type 2 diabetes mellitus in Scotland, 2010–2020: A retrospective population-based cohort study",,,,,2024,
"Mahmoud, Fatema; Mueller, Tanja; Mullen, Alexander; Sainsbury, Christopher; Rushworth, Gordon F; Kurdi, Amanj; ","Drug utilisation patterns of initial and first-intensifying antidiabetic drugs among patients with type 2 diabetes mellitus in Scotland, 2010-2020: a retrospective population-based cohort study","Diabetes, Obesity and Metabolism",,,,2024,
"Tan, Luyuan; Cooper, Jennifer; Gokhale, Krishna M; Sainsbury, Chris; Denniston, Alastair; Crowe, Francesca; Toulis, Konstantinos A; Nirantharakumar, Krishnarajah; Wang, Jingya; ",Associations between Fenofibrate and Risk of Sight-Threatening Diabetic Retinopathy in People with Type 2 Diabetes and No Background Diabetic Retinopathy: A Population-Based Cohort Study,Available at SSRN 4964493,,,,,
"Baxter, Mats; Conway, Nicholas; Bickerton, Alex; Cunningham, Scott; McKenzie, Scott; Dickson, Jane; Brodie, Doogie; Sainsbury, Christopher AR; Wake, Deborah; ","Impact on diabetes-related health outcomes using MyWay Diabetes platform in Somerset, UK: An interrupted time-series analysis",Diabetes Professional Care 2024,,,,2024,
"Vaughan, GA; Johnson, MK; Mark, PB; Connell, JMC; Olufsen, MS; Hill, NA; Sainsbury, CAR; ",The Disparate Effects of Microvascular Rarefaction and Reduced Compliance on Proximal Haemodynamics: Investigation with a Mathematical and Computational Model of the Circulation,Artery Research,1,2,74,2007,No longer published by Elsevier
"Sainsbury, Christopher; Khan, Jansher; Jones, Greg; ","Does type of diabetes, and treatment prescribed prior to admission influence quality of treatment of inpatient hypoglycaemia?",Endocrine Abstracts,44,,,2016,Bioscientifica
"Banas, WT; Sainsbury, CA; Manataki, A; Mercer, S; Cunningham, S; Wake, DJ; ",Risk modelling for personalised screening interval recommendations for diabetic foot and retinopathy: a retrospective cohort study,DIABETOLOGIA,67,,S395-S396,2024,"SPRINGER ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES"
"Sainsbury, CAR; McKeag, C; Barker, H; Morrison, D; Jones, GC; ",Using machine learning (XGBoost) to predict the risk of development of steroid induced hyperglycaemia amongst hospital inpatients in a large teaching hospital,Diabetic Medicine,40,,,2023,"WILEY 111 RIVER ST, HOBOKEN 07030-5774, NJ USA"
"Mckeag, C; Jones, G; Sainsbury, C; ",USING MACHINE LEARNING (XGBOOST) TO PREDICT INPATIENT HYPOGLYCEMIA FROM SPARSE/IRREGULAR CAPILLARY BLOOD GLUCOSE MEASUREMENT TIME SERIES,DIABETES TECHNOLOGY & THERAPEUTICS,25,,A209-A210,2023,"MARY ANN LIEBERT, INC 140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, NY 10801 USA"
"Sainsbury, C AR; Brady, AJ; Hillier, C; Connell, J; Petrie, JR; ",5.6. Mechanisms of endothelium-dependent vasodilator responses of human resistance arteries in hypertension and normal blood pressure,Journal of Human Hypertension,17,10,742,2003,
